N-gram,Frequency
র,12926
ক,8549
ন,7985
য,7172
ব,7105
ত,5468
ল,4652
ছ,4419
প,4415
চ,3583
স,3580
ম,3057
দ,3033
গ,2913
ট,2386
হয,2056
ড,2044
খ,2017
থ,1851
শ,1805
