N-gram,Frequency
ক ন,1345
ন ত,1021
ব র,978
র ক,949
হচ ছ,901
ব যথ,867
য চ,792
গ ছ,771
ব ক,758
ত র,739
হঠ ৎ,710
ল গ,700
ত ব,679
র স,678
খ ব,675
য র,664
র প,631
র ব,630
ক র,624
থ ক,618
