word_or_phrase,importance_weight,true_class,predicted_class
করতেছে।,0.2447,Urgent,Urgent
জ্বালাপোড়া,-0.2309,Urgent,Urgent
আর,0.108,Urgent,Urgent
টনটন,0.0707,Urgent,Urgent
করে,-0.0498,Urgent,Urgent
কাছটা,0.0431,Urgent,Urgent
কয়েকদিন,0.0293,Urgent,Urgent
ধরে,0.0245,Urgent,Urgent
টক,-0.0235,Urgent,Urgent
গলার,0.0109,Urgent,Urgent
বুক,-0.0057,Urgent,Urgent
"ওঠে,",-0.0051,Urgent,Urgent
